core,total_irqs,avg_irqs_per_sec
0,1912752,15846.251007
1,5198685,43068.660974
2,4294708,35579.636549
3,4500442,37284.046010
4,5257653,43557.183129
5,5319265,44067.609581
6,4471001,37040.141167
7,4417328,36595.485597
8,5627468,46620.926529
9,5847793,48446.215565
10,5085568,42131.539813
11,5721919,47403.408656
12,5177141,42890.179063
13,5054415,41873.451855
14,4318285,35774.960909
15,4544833,37651.804574
16,5101257,42261.515801
17,5265507,43622.249826
18,4323962,35821.992185
19,4877633,40408.896102
20,5066988,41977.613248
21,4414420,36571.394185
22,3890941,32234.616792
23,5219573,43241.708233
24,5433715,45015.774020
25,5002301,41441.711867
26,5227986,43311.405982
27,4069515,33714.018423
28,5047439,41815.658975
29,4970591,41179.009426
30,3056784,25324.018240
31,0,0.000000
32,0,0.000000
33,0,0.000000
34,0,0.000000
35,0,0.000000
36,0,0.000000
37,0,0.000000
38,0,0.000000
39,0,0.000000
40,0,0.000000
41,0,0.000000
42,0,0.000000
43,0,0.000000
44,0,0.000000
45,0,0.000000
46,0,0.000000
47,0,0.000000
48,0,0.000000
49,0,0.000000
50,0,0.000000
51,0,0.000000
52,0,0.000000
53,0,0.000000
54,0,0.000000
55,0,0.000000
56,0,0.000000
57,0,0.000000
58,0,0.000000
59,0,0.000000
60,0,0.000000
61,0,0.000000
62,0,0.000000
63,0,0.000000
64,0,0.000000
65,0,0.000000
66,0,0.000000
67,0,0.000000
68,0,0.000000
69,0,0.000000
70,0,0.000000
71,0,0.000000
72,0,0.000000
73,0,0.000000
74,0,0.000000
75,0,0.000000
76,0,0.000000
77,0,0.000000
78,0,0.000000
79,0,0.000000
80,0,0.000000
81,0,0.000000
82,0,0.000000
83,0,0.000000
84,0,0.000000
85,0,0.000000
86,0,0.000000
87,0,0.000000
88,0,0.000000
89,0,0.000000
90,0,0.000000
91,0,0.000000
92,0,0.000000
93,0,0.000000
94,0,0.000000
95,0,0.000000
96,0,0.000000
97,0,0.000000
98,0,0.000000
99,0,0.000000
100,0,0.000000
101,0,0.000000
102,0,0.000000
103,0,0.000000
104,0,0.000000
105,0,0.000000
106,0,0.000000
107,0,0.000000
108,0,0.000000
109,0,0.000000
110,0,0.000000
111,0,0.000000
112,0,0.000000
113,0,0.000000
114,0,0.000000
115,0,0.000000
116,0,0.000000
117,0,0.000000
118,0,0.000000
119,0,0.000000
120,0,0.000000
121,0,0.000000
122,0,0.000000
123,0,0.000000
124,0,0.000000
125,0,0.000000
126,0,0.000000
127,0,0.000000
128,0,0.000000
129,0,0.000000
130,0,0.000000
131,0,0.000000
132,0,0.000000
133,0,0.000000
134,0,0.000000
135,0,0.000000
136,0,0.000000
137,0,0.000000
138,0,0.000000
139,0,0.000000
140,0,0.000000
141,0,0.000000
142,0,0.000000
143,0,0.000000
144,0,0.000000
145,0,0.000000
146,0,0.000000
147,0,0.000000
148,0,0.000000
149,0,0.000000
150,0,0.000000
151,0,0.000000
152,0,0.000000
153,0,0.000000
154,0,0.000000
155,0,0.000000
156,0,0.000000
157,0,0.000000
158,0,0.000000
159,0,0.000000
160,0,0.000000
161,0,0.000000
162,0,0.000000
163,0,0.000000
164,0,0.000000
165,0,0.000000
166,0,0.000000
167,0,0.000000
168,0,0.000000
169,0,0.000000
170,0,0.000000
171,0,0.000000
172,0,0.000000
173,0,0.000000
174,0,0.000000
175,0,0.000000
176,0,0.000000
177,0,0.000000
178,0,0.000000
179,0,0.000000
180,0,0.000000
181,0,0.000000
182,0,0.000000
183,0,0.000000
184,0,0.000000
185,0,0.000000
186,0,0.000000
187,0,0.000000
188,0,0.000000
189,0,0.000000
190,0,0.000000
191,0,0.000000
192,0,0.000000
193,0,0.000000
194,0,0.000000
195,0,0.000000
196,0,0.000000
197,0,0.000000
198,0,0.000000
199,0,0.000000
200,0,0.000000
201,0,0.000000
202,0,0.000000
203,0,0.000000
204,0,0.000000
205,0,0.000000
206,0,0.000000
207,0,0.000000
208,0,0.000000
209,0,0.000000
210,0,0.000000
211,0,0.000000
212,0,0.000000
213,0,0.000000
214,0,0.000000
215,0,0.000000
216,0,0.000000
217,0,0.000000
218,0,0.000000
219,0,0.000000
220,0,0.000000
221,0,0.000000
222,0,0.000000
223,0,0.000000
